Borrower Transaction-Level Detail Report -- Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Period	July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution	KING CNTY LIBR SYST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol	NTG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution Name	Institution Symbol	Institution State	Library Type	Requests To Lender	Requests To Lender From WorldCat	Requests,Canceled,Requests,Filled,Requests,Filled,(Loan),Requests,Filled,(Copy),Requests,Unfilled,Direct,Request:,Unmediated,Direct,Request:,Mediated,Average,Turnaround,Time,For,Filled,Requests,(dd:hh:mm),Average,Turnaround,Time,For,Loan,Filled,Requests,(dd:hh:mm),Average,Turnaround,Time,For,Copy,Filled,Requests,(dd:hh:mm)
Totals Year-To-Date				14764	14756	109	7109	7000	109	7620	0	0	1:15:07	1:15:22	1:02:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals				1765	1764	8	940	927	13	878	0	0	1:16:19	1:16:34	0:18:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABILENE CHRISTIAN UNIV	TXC	TX	Academic	3	3	0	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABILENE PUB LIBR	TXB	TX	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADA COMMUN LIBR	ZRK	ID	Public	1	1	0	1	1	0	0	0	0	4:00:00	4:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISO LIBR DLIFLC	TSL	CA	Federal/Natl Government	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALACHUA CNTY LIBR DIST	FMG	FL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALAMANCE COMMUN COL	HZT	NC	Junior, Community, Technical Colleges	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALASKA STATE LIBR	ALK	AK	State Library	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANY PUB LIBR	ABY	OR	Public	3	3	0	2	2	0	3	0	0	4:12:00	4:12:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBRIGHT COLL	ABI	PA	Academic	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBUQUERQUE BERNALILLO CNTY LIBR	QUE	NM	Public	3	3	0	2	2	0	1	0	0	1:12:00	1:12:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTADENA LIBR DIST	ALD	CA	Public	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMES PUB LIBR	UIB	IA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMHERST COL	AMH	MA	Academic	2	2	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
